id,n,developer,publisher,release_year,price,rating,review_count,owners,genre_list,tag_list,cat_list
257790,Riptide GP2,Vector Unit,Vector Unit,2014,4.99,88.0,383,35000,"['Action', 'Indie', 'Racing', 'Simulation', 'Sports']","['Racing', 'Sports', 'Action']","['Single-player', 'Multi-player']"
257830,Violett Remastered,Forever Entertainment S. A.,Forever Entertainment S. A.,2013,6.99,63.3,706,150000,"['Adventure', 'Indie']","['Adventure', 'Indie', 'Point & Click']",['Single-player']
257850,Hyper Light Drifter,Heart Machine,Heart Machine,2016,14.99,93.9,11748,750000,"['Action', 'Adventure', 'Indie', 'RPG']","['Pixel Graphics', 'Great Soundtrack', 'Atmospheric']","['Single-player', 'Local Multi-Player', 'Local Co-op']"
257970,Loren The Amazon Princess,Winter Wolves,Winter Wolves,2014,14.99,80.8,480,75000,"['Indie', 'RPG']","['Visual Novel', 'RPG', 'Indie']",['Single-player']
257990,Oozi: Earth Adventure,Awesome Games Studio,Awesome Games Studio,2013,3.99,85.3,673,75000,"['Casual', 'Indie']","['Indie', 'Casual', 'Platformer']",['Single-player']
258010,Ring Runner: Flight of the Sages,Triple.B.Titles,Triple.B.Titles,2013,3.99,84.1,705,150000,"['Action', 'Indie', 'RPG']","['Action', 'RPG', 'Indie']","['Single-player', 'Multi-player', 'Co-op']"
258050,Survivor Squad,Endless Loop Studios,Endless Loop Studios,2015,2.99,66.7,804,150000,"['Action', 'Indie', 'Strategy']","['Strategy', 'Indie', 'Zombies']","['Single-player', 'Multi-player', 'Cross-Platform Multiplayer']"
258090,99 Spirits,TORaIKI,Fruitbat Factory,2013,6.99,59.3,361,75000,"['Adventure', 'Indie', 'RPG']","['RPG', 'Anime', 'Indie']",['Single-player']
258180,Deus Ex: The Fall,Square Enix,Square Enix,2014,7.99,32.0,3091,750000,"['Action', 'Adventure', 'RPG']","['Cyberpunk', 'RPG', 'Action']",['Single-player']
258200,Talisman: Prologue,Nomad Games,Nomad Games,2013,4.99,56.7,330,350000,"['Indie', 'RPG', 'Strategy']","['Strategy', 'Indie', 'Board Game']",['Single-player']
258220,Blood Knights,Deck 13,Kalypso Media Digital,2013,6.99,61.2,714,75000,"['Action', 'RPG']","['Action', 'RPG', 'Vampire']",['Single-player']
258520,The Vanishing of Ethan Carter,The Astronauts,The Astronauts,2014,14.99,89.1,7766,750000,"['Adventure', 'Indie']","['Mystery', 'Detective', 'Atmospheric']",['Single-player']
258590,Adventure Time: Finn and Jake's Epic Quest,NGD Studios,Cartoon Network Games,2014,6.99,74.8,425,35000,"['Action', 'Adventure']","['Adventure', 'Action', 'Cartoon']",['Single-player']
258760,Scania Truck Driving Simulator,SCS Software,SCS Software,2014,6.99,76.6,1083,750000,"['Indie', 'Simulation']","['Simulation', 'Driving', 'Indie']",['Single-player']
258880,Professional Farmer 2014,PlayWay S.A.,United Independent Entertainment GmbH,2013,14.99,45.2,584,150000,['Simulation'],"['Simulation', 'Agriculture', 'Action']",['Single-player']
258890,Type:Rider,Ex Nihilo,Plug In Digital,2013,3.99,80.0,1404,150000,['Indie'],"['Indie', 'Platformer', 'Casual']",['Single-player']
258910,Citizens of Earth,Eden Industries,SEGA,2015,9.99,77.7,310,150000,['RPG'],"['RPG', 'Comedy', 'Turn-Based']",['Single-player']
258950,Montague's Mount,PolyPusher Studios,PolyPusher Studios,2013,3.99,58.9,409,35000,"['Adventure', 'Indie']","['Indie', 'Adventure', 'Walking Simulator']",['Single-player']
258970,Gauntlet™ Slayer Edition,Arrowhead Game Studios,WB Games,2014,14.99,78.0,6404,750000,"['Action', 'Adventure', 'RPG']","['Co-op', 'Dungeon Crawler', 'Action']","['Single-player', 'Multi-player', 'Co-op']"
259020,Dragon's Prophet,Runewaker,Infernum Productions AG,2013,0.0,69.0,861,350000,"['Action', 'Free to Play', 'Massively Multiplayer', 'RPG']","['Free to Play', 'Dragons', 'Massively Multiplayer']",['MMO']
259060,Dominions 4: Thrones of Ascension,Illwinter Game Design,Illwinter Game Design,2013,26.99,91.4,1321,75000,"['Indie', 'Strategy']","['Strategy', 'Turn-Based Strategy', 'Indie']","['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer']"
259080,Just Cause 2: Multiplayer Mod,Avalanche Studios,Square Enix,2013,0.0,91.8,13360,1500000,"['Action', 'Adventure']","['Open World', 'Multiplayer', 'Action']","['Single-player', 'Multi-player']"
259130,Wasteland 1 - The Original Classic,inXile Entertainment,inXile Entertainment,2013,4.49,78.9,308,750000,"['Adventure', 'Indie', 'RPG', 'Strategy']","['RPG', 'Post-apocalyptic', 'Classic']",['Single-player']
259170,Alone in the Dark,Eden Games;Hydravision Entertainment,THQ Nordic,2013,6.99,39.6,503,75000,"['Action', 'Adventure']","['Adventure', 'Action', 'Horror']",['Single-player']
259190,Alone in the Dark: The New Nightmare,Darkworks;Spiral House,THQ Nordic,2013,4.99,59.1,252,35000,"['Action', 'Adventure']","['Adventure', 'Action', 'Horror']",['Single-player']
